x, Lorentz(x)
-3.140000, 0.045933
-3.130000, 0.046142
-3.120000, 0.046352
-3.110000, 0.046563
-3.100000, 0.046776
-3.090000, 0.046990
-3.080000, 0.047205
-3.070000, 0.047421
-3.060000, 0.047638
-3.050000, 0.047857
-3.040000, 0.048077
-3.030000, 0.048299
-3.020000, 0.048521
-3.010000, 0.048745
-3.000000, 0.048971
-2.990000, 0.049197
-2.980000, 0.049425
-2.970000, 0.049655
-2.960000, 0.049886
-2.950000, 0.050118
-2.940000, 0.050351
-2.930000, 0.050586
-2.920000, 0.050822
-2.910000, 0.051060
-2.900000, 0.051299
-2.890000, 0.051539
-2.880000, 0.051781
-2.870000, 0.052025
-2.860000, 0.052269
-2.850000, 0.052516
-2.840000, 0.052763
-2.830000, 0.053012
-2.820000, 0.053263
-2.810000, 0.053515
-2.800000, 0.053769
-2.790000, 0.054024
-2.780000, 0.054280
-2.770000, 0.054538
-2.760000, 0.054798
-2.750000, 0.055059
-2.740000, 0.055322
-2.730000, 0.055586
-2.720000, 0.055852
-2.710000, 0.056119
-2.700000, 0.056388
-2.690000, 0.056658
-2.680000, 0.056931
-2.670000, 0.057204
-2.660000, 0.057479
-2.650000, 0.057756
-2.640000, 0.058035
-2.630000, 0.058315
-2.620000, 0.058597
-2.610000, 0.058880
-2.600000, 0.059165
-2.590000, 0.059452
-2.580000, 0.059741
-2.570000, 0.060031
-2.560000, 0.060323
-2.550000, 0.060616
-2.540000, 0.060911
-2.530000, 0.061208
-2.520000, 0.061507
-2.510000, 0.061807
-2.500000, 0.062109
-2.490000, 0.062413
-2.480000, 0.062719
-2.470000, 0.063026
-2.460000, 0.063335
-2.450000, 0.063646
-2.440000, 0.063959
-2.430000, 0.064273
-2.420000, 0.064589
-2.410000, 0.064908
-2.400000, 0.065227
-2.390000, 0.065549
-2.380000, 0.065873
-2.370000, 0.066198
-2.360000, 0.066525
-2.350000, 0.066854
-2.340000, 0.067185
-2.330000, 0.067518
-2.320000, 0.067853
-2.310000, 0.068189
-2.300000, 0.068527
-2.290000, 0.068868
-2.280000, 0.069210
-2.270000, 0.069554
-2.260000, 0.069900
-2.250000, 0.070248
-2.240000, 0.070597
-2.230000, 0.070949
-2.220000, 0.071303
-2.210000, 0.071658
-2.200000, 0.072016
-2.190000, 0.072375
-2.180000, 0.072737
-2.170000, 0.073100
-2.160000, 0.073465
-2.150000, 0.073832
-2.140000, 0.074202
-2.130000, 0.074573
-2.120000, 0.074946
-2.110000, 0.075321
-2.100000, 0.075698
-2.090000, 0.076077
-2.080000, 0.076458
-2.070000, 0.076841
-2.060000, 0.077226
-2.050000, 0.077613
-2.040000, 0.078002
-2.030000, 0.078393
-2.020000, 0.078786
-2.010000, 0.079181
-2.000000, 0.079577
-1.990000, 0.079976
-1.980000, 0.080377
-1.970000, 0.080780
-1.960000, 0.081185
-1.950000, 0.081592
-1.940000, 0.082001
-1.930000, 0.082411
-1.920000, 0.082824
-1.910000, 0.083239
-1.900000, 0.083656
-1.890000, 0.084074
-1.880000, 0.084495
-1.870000, 0.084918
-1.860000, 0.085342
-1.850000, 0.085769
-1.840000, 0.086197
-1.830000, 0.086628
-1.820000, 0.087060
-1.810000, 0.087495
-1.800000, 0.087931
-1.790000, 0.088369
-1.780000, 0.088809
-1.770000, 0.089251
-1.760000, 0.089695
-1.750000, 0.090141
-1.740000, 0.090589
-1.730000, 0.091038
-1.720000, 0.091489
-1.710000, 0.091943
-1.700000, 0.092398
-1.690000, 0.092855
-1.680000, 0.093313
-1.670000, 0.093774
-1.660000, 0.094236
-1.650000, 0.094700
-1.640000, 0.095166
-1.630000, 0.095633
-1.620000, 0.096102
-1.610000, 0.096573
-1.600000, 0.097046
-1.590000, 0.097520
-1.580000, 0.097996
-1.570000, 0.098473
-1.560000, 0.098952
-1.550000, 0.099433
-1.540000, 0.099915
-1.530000, 0.100399
-1.520000, 0.100884
-1.510000, 0.101371
-1.500000, 0.101859
-1.490000, 0.102349
-1.480000, 0.102840
-1.470000, 0.103332
-1.460000, 0.103826
-1.450000, 0.104321
-1.440000, 0.104818
-1.430000, 0.105315
-1.420000, 0.105814
-1.410000, 0.106314
-1.400000, 0.106815
-1.390000, 0.107318
-1.380000, 0.107821
-1.370000, 0.108326
-1.360000, 0.108831
-1.350000, 0.109338
-1.340000, 0.109845
-1.330000, 0.110354
-1.320000, 0.110863
-1.310000, 0.111373
-1.300000, 0.111884
-1.290000, 0.112396
-1.280000, 0.112908
-1.270000, 0.113421
-1.260000, 0.113934
-1.250000, 0.114448
-1.240000, 0.114963
-1.230000, 0.115478
-1.220000, 0.115994
-1.210000, 0.116510
-1.200000, 0.117026
-1.190000, 0.117542
-1.180000, 0.118059
-1.170000, 0.118575
-1.160000, 0.119092
-1.150000, 0.119609
-1.140000, 0.120126
-1.130000, 0.120643
-1.120000, 0.121159
-1.110000, 0.121676
-1.100000, 0.122192
-1.090000, 0.122708
-1.080000, 0.123223
-1.070000, 0.123738
-1.060000, 0.124252
-1.050000, 0.124766
-1.040000, 0.125279
-1.030000, 0.125792
-1.020000, 0.126303
-1.010000, 0.126814
-1.000000, 0.127324
-0.990000, 0.127833
-0.980000, 0.128340
-0.970000, 0.128847
-0.960000, 0.129352
-0.950000, 0.129856
-0.940000, 0.130359
-0.930000, 0.130860
-0.920000, 0.131359
-0.910000, 0.131857
-0.900000, 0.132353
-0.890000, 0.132848
-0.880000, 0.133340
-0.870000, 0.133831
-0.860000, 0.134319
-0.850000, 0.134806
-0.840000, 0.135290
-0.830000, 0.135772
-0.820000, 0.136251
-0.810000, 0.136728
-0.800000, 0.137203
-0.790000, 0.137674
-0.780000, 0.138143
-0.770000, 0.138610
-0.760000, 0.139073
-0.750000, 0.139533
-0.740000, 0.139990
-0.730000, 0.140444
-0.720000, 0.140895
-0.710000, 0.141342
-0.700000, 0.141786
-0.690000, 0.142226
-0.680000, 0.142663
-0.670000, 0.143096
-0.660000, 0.143525
-0.650000, 0.143950
-0.640000, 0.144371
-0.630000, 0.144788
-0.620000, 0.145201
-0.610000, 0.145610
-0.600000, 0.146014
-0.590000, 0.146413
-0.580000, 0.146808
-0.570000, 0.147199
-0.560000, 0.147584
-0.550000, 0.147965
-0.540000, 0.148341
-0.530000, 0.148712
-0.520000, 0.149077
-0.510000, 0.149438
-0.500000, 0.149793
-0.490000, 0.150143
-0.480000, 0.150487
-0.470000, 0.150826
-0.460000, 0.151159
-0.450000, 0.151486
-0.440000, 0.151807
-0.430000, 0.152123
-0.420000, 0.152433
-0.410000, 0.152736
-0.400000, 0.153034
-0.390000, 0.153325
-0.380000, 0.153610
-0.370000, 0.153888
-0.360000, 0.154160
-0.350000, 0.154426
-0.340000, 0.154685
-0.330000, 0.154937
-0.320000, 0.155182
-0.310000, 0.155421
-0.300000, 0.155653
-0.290000, 0.155878
-0.280000, 0.156095
-0.270000, 0.156306
-0.260000, 0.156510
-0.250000, 0.156706
-0.240000, 0.156896
-0.230000, 0.157078
-0.220000, 0.157252
-0.210000, 0.157419
-0.200000, 0.157579
-0.190000, 0.157731
-0.180000, 0.157876
-0.170000, 0.158013
-0.160000, 0.158143
-0.150000, 0.158265
-0.140000, 0.158379
-0.130000, 0.158485
-0.120000, 0.158584
-0.110000, 0.158675
-0.100000, 0.158758
-0.090000, 0.158833
-0.080000, 0.158901
-0.070000, 0.158960
-0.060000, 0.159012
-0.050000, 0.159056
-0.040000, 0.159091
-0.030000, 0.159119
-0.020000, 0.159139
-0.010000, 0.159151
-0.000000, 0.159155
0.010000, 0.159151
0.020000, 0.159139
0.030000, 0.159119
0.040000, 0.159091
0.050000, 0.159056
0.060000, 0.159012
0.070000, 0.158960
0.080000, 0.158901
0.090000, 0.158833
0.100000, 0.158758
0.110000, 0.158675
0.120000, 0.158584
0.130000, 0.158485
0.140000, 0.158379
0.150000, 0.158265
0.160000, 0.158143
0.170000, 0.158013
0.180000, 0.157876
0.190000, 0.157731
